The Universal Declaration of Human Rights (UDHR) provides a foundation for protecting human dignity worldwide.,The rights mentioned in the UDHR are adequately protected in your country.,"The UDHR promotes equality regardless of race, gender, or religion.","Freedom of speech and expression, as outlined in the UDHR, is respected in your community.",Governments around the world are actively implementing the principles of the UDHR.,How significant is the UDHR in ensuring justice and equality globally?,How effective is the UDHR in addressing modern human rights violations?,To what extent does the UDHR influence international laws and policies?,How satisfied are you with the awareness of the UDHR in your community?,How satisfied are you with the efforts of global organizations in promoting the principles of the UDHR?
5,4,5,3,5,5,4,5,4,5
5,4,5,4,5,4,5,5,4,4
5,4,4,4,5,4,4,5,4,5
5,4,5,4,5,4,5,4,5,4
2,3,4,5,5,4,5,4,5,4
5,4,5,4,3,3,5,4,3,4
5,4,5,4,5,4,5,4,5,4
4,4,5,4,5,4,3,5,1,5
4,4,4,4,4,4,4,3,4,4
1,4,4,3,5,5,5,4,5,5
2,2,3,3,1,3,3,3,3,3
1,4,3,2,1,2,2,2,2,1
3,2,4,5,5,4,3,3,4,5
5,4,4,3,2,1,1,1,2,4
3,4,4,5,5,5,5,4,5,5
3,2,4,1,5,4,2,4,1,4
4,4,5,3,3,5,4,3,1,4
1,4,2,1,4,2,5,2,3,4
5,1,1,3,4,5,5,5,5,5
1,5,2,3,4,2,1,1,3,1
1,5,4,4,5,5,5,5,4,5
1,4,1,1,3,2,2,2,2,1
2,1,3,4,1,3,4,1,3,2
2,1,5,5,5,5,4,4,5,5
1,4,2,3,2,4,2,2,3,1
1,4,3,2,3,1,4,5,3,2
5,5,3,3,4,5,2,4,5,3
1,4,4,5,4,3,3,3,2,1
4,4,4,1,3,5,5,5,5,4
1,4,4,2,2,3,1,3,2,2
1,5,2,3,4,4,3,2,1,5
1,4,3,3,2,4,4,2,1,5
2,1,5,5,4,3,2,2,5,1
